round,student_won,student_hp,opponent_hp,elapsed_frames,difficulty_level
195,True,62,0,3449,0.95
196,False,0,102,3279,0.95
197,False,0,48,2818,0.95
198,True,138,0,2783,0.8999999999999999
199,True,95,32,3600,0.8999999999999999
200,False,0,110,2783,0.8999999999999999
201,True,227,0,2642,0.8999999999999999
202,True,131,0,2421,0.8999999999999999
203,True,96,0,2615,0.8999999999999999
204,True,67,56,3600,0.8999999999999999
205,True,37,0,3214,0.8999999999999999
206,True,23,0,3231,0.8999999999999999
207,True,25,0,2614,0.8999999999999999
208,False,0,64,3437,0.8999999999999999
209,False,0,62,3313,0.8999999999999999
210,True,10,0,2903,0.8999999999999999
211,True,9,0,2815,0.8999999999999999
212,False,66,99,3600,0.8999999999999999
213,False,77,144,3600,0.8999999999999999
214,True,69,0,3504,0.8999999999999999
215,False,0,54,3044,0.8999999999999999
216,True,143,0,2921,0.8999999999999999
217,False,37,77,3600,0.8999999999999999
218,False,0,45,2773,0.8999999999999999
219,False,0,143,2735,0.8999999999999999
220,True,97,0,3202,0.8999999999999999
221,True,102,0,3332,0.8999999999999999
222,True,57,0,2417,0.8999999999999999
223,False,0,97,3065,0.8999999999999999
224,False,0,77,3570,0.8999999999999999
225,True,8,0,3272,0.8999999999999999
226,False,0,5,2840,0.8999999999999999
227,False,0,107,2022,0.8999999999999999
228,True,8,0,3085,0.8999999999999999
229,True,48,0,3002,0.8999999999999999
230,True,10,0,2479,0.8999999999999999
231,False,0,85,1919,0.8999999999999999
232,False,60,97,3600,0.8999999999999999
233,True,4,0,3320,0.8999999999999999
234,False,0,107,3377,0.8999999999999999
235,True,34,12,3600,0.8999999999999999
236,False,8,47,3600,0.8999999999999999
237,False,0,78,3211,0.8999999999999999
238,False,0,40,3220,0.8999999999999999
239,False,0,54,3117,0.8999999999999999
240,False,0,97,3332,0.8999999999999999
241,False,0,129,2818,0.8999999999999999
242,True,109,0,3345,0.8999999999999999
243,False,0,46,3594,0.8999999999999999
244,True,157,0,2709,0.8999999999999999
245,True,137,0,2399,0.8999999999999999
246,False,9,92,3600,0.8999999999999999
247,False,0,114,2759,0.8999999999999999
248,True,62,54,3600,0.8999999999999999
249,False,0,111,3363,0.8999999999999999
250,True,40,0,3033,0.8999999999999999
251,False,0,19,3310,0.8999999999999999
252,True,79,0,2654,0.8999999999999999
253,True,49,0,3472,0.8999999999999999
254,False,0,169,2454,0.8999999999999999
255,True,11,0,3473,0.8999999999999999
256,False,0,139,3049,0.8999999999999999
257,True,68,0,2979,0.8999999999999999
258,True,39,0,3497,0.8999999999999999
259,False,0,60,2477,0.8999999999999999
260,True,26,0,3434,0.8999999999999999
261,False,9,47,3600,0.8999999999999999
262,True,102,0,3316,0.8999999999999999
263,False,0,60,2156,0.8999999999999999
264,False,0,114,3565,0.8999999999999999
